id,file,periods,jan_lo,jan_hi,jul_lo,jul_hi,annual_min,annual_max,amplitude,seasonless,max_diurnal,mud,sandstorm,snow_months
1,1-Southern England.txt,12,-6.0,12.0,9.0,24.0,-7.0,25.0,14.5,,19.0,[0.3],,6
2,2-Northern England.txt,12,-6.0,11.0,8.0,22.0,-7.0,23.0,12.5,,19.0,[0.3],,6
3,3-Scotland and Northern Ireland.txt,12,-9.0,7.0,4.0,19.0,-11.0,19.0,13.5,,18.0,[0.3],,6
4,4-Ireland.txt,12,-4.0,13.0,8.0,22.0,-5.0,22.0,11.0,,18.0,[0.3],,6
5,5-Benelux Region.txt,12,-10.0,11.0,10.0,25.0,-10.0,26.0,17.0,,21.0,[1.0],,4
6,6-North-West Germany.txt,12,-12.0,9.0,9.0,24.0,-12.0,25.0,18.5,,22.0,[1.0],,5
7,7-Western Germany.txt,12,-13.0,8.0,10.0,26.0,-13.0,26.0,20.5,,22.0,[1.0],,7
8,8-Eastern Germany.txt,12,-13.0,8.0,10.0,26.0,-13.0,26.0,20.5,,22.0,[1.0],,5
9,9-Baltic Sea.txt,12,-10.0,-1.0,1.0,6.0,-10.0,6.0,9.0,,9.0,[1.0],,0
10,10-Southern Sweden.txt,12,-16.0,6.0,9.0,24.0,-16.0,24.0,21.5,,22.0,[0.6],,6
11,11-Southern Norway.txt,12,-22.0,2.0,6.0,21.0,-22.0,21.0,23.5,,24.0,[0.2],,6
12,12-Northern Scandinavia.txt,12,-23.0,-1.0,5.0,21.0,-25.0,21.0,26.0,,25.0,[0.3],,7
13,13-Finland.txt,12,-24.0,2.0,10.0,26.0,-24.0,26.0,29.0,,26.0,[1.0],,7
14,14-TransUrals.txt,12,-31.0,-3.0,10.0,27.0,-31.0,27.0,36.0,,28.0,[1.0],,9
15,15-Asia.txt,12,0.0,17.0,27.0,41.0,0.0,41.0,25.5,,18.0,[1.0],YES,0
16,16-North Sea.txt,12,-15.0,2.0,5.0,15.0,-15.0,15.0,16.5,,17.0,[1.0],,0
17,17-Africa.txt,12,11.0,25.0,13.0,26.0,10.0,28.0,4.0,,15.0,[1.0],,0
18,18-Channel.txt,12,-7.0,3.0,6.0,15.0,-7.0,15.0,12.5,,10.0,[1.0],,0
19,19-Northern France.txt,12,-9.0,11.0,11.0,27.0,-9.0,27.0,18.0,,21.0,[1.0],,4
20,20-Southern France.txt,12,-8.0,12.0,11.0,26.0,-8.0,26.0,16.5,,20.0,[1.0],,0
21,21-Alpine Region.txt,12,-17.0,3.0,3.0,19.0,-18.0,19.0,18.5,,21.0,[0.0],,4
22,22-Czechoslovakia.txt,12,-16.0,7.0,11.0,25.0,-16.0,26.0,22.5,,23.0,[1.0],,7
23,23-Italy.txt,12,-3.0,15.0,16.0,31.0,-3.0,31.0,17.5,,18.0,[1.0],,3
24,24-Western Balkans.txt,12,-15.0,8.0,11.0,26.0,-15.0,27.0,22.0,,23.0,[1.0],,6
25,25-Greece.txt,12,-5.0,14.0,17.0,31.0,-5.0,32.0,20.0,,19.0,[1.0],,3
26,26-Eastern Balkans.txt,12,-14.0,10.0,16.0,30.0,-14.0,31.0,25.0,,24.0,[1.0],,6
27,27-Northern Balkans.txt,12,-15.0,9.0,14.0,29.0,-15.0,29.0,24.5,,24.0,[0.8],,7
28,28-Middle East.txt,12,0.0,17.0,27.0,41.0,0.0,41.0,25.5,,18.0,[1.0],YES,0
29,29-Central Mediterranean Sea.txt,12,12.0,30.0,12.0,30.0,12.0,30.0,0.0,YES,18.0,[1.0],,0
30,30-Black Sea.txt,12,12.0,30.0,12.0,30.0,12.0,30.0,0.0,YES,18.0,[100000.0],,0
31,31-Indian Area.txt,12,17.0,30.0,21.0,34.0,17.0,39.0,9.0,,15.0,[0.5],,0
32,32-Southern Ocean.txt,12,2.0,8.0,2.0,8.0,2.0,8.0,0.0,YES,6.0,[1.0],,0
33,33-North America.txt,12,-34.0,-7.0,7.0,21.0,-34.0,21.0,34.5,,27.0,[1.0],,10
34,34-Central America.txt,12,14.0,18.0,17.0,20.0,12.0,23.0,7.0,,6.0,[1.0],,0
35,35-South America.txt,12,20.0,30.0,10.0,20.0,10.0,30.0,10.0,,11.0,[1.0],,0
36,36-Atlantic Ocean.txt,12,-24.0,-4.0,0.0,15.0,-28.0,15.0,22.5,,26.0,[0.0],,12
37,37-Baltic States.txt,12,-21.0,4.0,10.0,25.0,-21.0,25.0,26.0,,25.0,[1.0],,6
38,38-Western Poland.txt,12,-20.0,5.0,11.0,27.0,-20.0,27.0,26.5,,25.0,[1.4],,7
39,39-Eastern Poland.txt,12,-21.0,6.0,13.0,30.0,-21.0,30.0,29.0,,27.0,[1.6],,7
40,40-Western Russia.txt,12,-28.0,-2.0,10.0,27.0,-28.0,27.0,33.5,,26.0,[1.5],,9
41,41-Spanish Region.txt,12,-4.0,14.0,16.0,30.0,-4.0,31.0,18.5,,18.0,[1.0],,3
